t_min,cgm_true,cgm_twin,cgm_true_cf,cgm_twin_cf
876.0,131.63269087981357,115.20016877312185,120.46778342952797,101.38493978379839
879.0,131.93770609623044,114.76724554972454,120.73768521957871,100.9664669678904
882.0,131.79307070568845,114.34956765784335,120.55904635835174,100.56445671389349
885.0,130.9208621228887,113.9466971107844,119.65375197667052,100.17838241564209
888.0,129.0431556882881,113.55817440017559,117.74370916890098,99.80770554114659
891.0,125.8820187202634,113.18352240912036,114.55083979593593,99.45187868939163
894.0,121.15949502143125,112.82224982700595,109.79706349694962,99.1103482149209
897.0,117.87325203155524,112.47385412930704,106.4799432079076,98.78255647896229
900.0,119.73239906669414,112.13782417760937,108.30850171861948,98.46794377789095
903.0,121.4094657922316,111.81364248801634,109.95519849542895,98.16594999296831
906.0,122.86317333517366,111.50078720995774,111.3786992423936,97.87601599937922
909.0,124.05199731858664,111.1987338520703,112.53743753974473,97.59758486748373
912.0,124.9341017401521,110.90695678716307,113.38954752598997,97.3301028847883
915.0,125.46727235249737,110.62493056422235,113.89279631369271,97.07302042333255
918.0,125.60885472006399,110.35213105187496,114.00452133307749,96.82579267388779
921.0,125.31570296477753,110.08803643464373,113.68157862082796,96.58788026551343
924.0,124.54414545220143,109.83212808063838,112.88030829525123,96.35874978654294
927.0,123.26872665318061,109.58389129697505,111.57527642579512,96.13787422093043
930.0,121.57599005325366,109.34281598716532,109.85305812570303,95.92473331202974
933.0,119.72078255116963,109.10839718973543,107.96854225061992,95.71881382836462
936.0,117.995050849232,108.8801356004507,106.21372813546782,95.519609839187
939.0,116.69042959331097,108.65753806043969,104.88031404998105,95.32662297887035
942.0,116.06310415472268,108.44011788553567,104.22456018675872,95.13936256218003
945.0,116.15768249787999,108.22739519042062,104.29116055328097,94.95734571547749
948.0,116.70156916756068,108.0188971702795,104.8076167416717,94.78009748126794
951.0,117.35183532193636,107.81415834494896,105.43110746003126,94.60715089986475
954.0,117.76582486612959,107.61272077018778,105.81909385902227,94.43804707173365
957.0,117.64035874219067,107.41413422019161,105.66852271098725,94.27233520367625
960.0,116.90738362144353,107.21795634497303,104.91147371038582,94.10957264158648
963.0,115.85136660051684,107.02375280576284,103.83255253818646,93.94932489212471
966.0,114.83550663874365,106.8310973911741,102.79510048332412,93.79116563530557
969.0,114.22350798237214,106.63957211650424,102.16296593108407,93.63467672969067
972.0,114.34178654110681,106.44876730822791,102.26270875209747,93.479448211611
975.0,115.29053094565236,106.25828167545086,103.19465938771305,93.32507828961116
978.0,116.83031914557938,106.06772236984716,104.7195335530451,93.17117333510576
981.0,118.64655718814294,105.87670503538543,106.52286925216586,93.01734787006268
984.0,120.42499868363808,105.68485384895975,108.2905446547461,92.86322455237502
987.0,121.8995985846349,105.49180162582086,109.75663049412546,92.70843423327322
990.0,123.09197632798977,105.29718972674122,110.94285205716994,92.55261582110182
993.0,124.45507552719985,105.10066808489972,112.30224796435911,92.39541626983979
996.0,126.53780222503012,104.90189525460794,114.38380775141584,92.2364905959694
999.0,129.88917842725846,104.70053841792773,117.73662496661626,92.07550185830672
